date_time,station_id,td_avg,airt_avg,rh_avg,winds_avg,winds_max,rain,solarw_avg,soilm10_i,soilt10_i,airt_abovecanopy_avg,airt_belowcanopy_avg,budt,windd_avg,lwspct_wet,airt_f,windd_deg_sd,add_date,mod_date,leaft,rainhr,rainday,winds_mph_avg,site_pressure,sealevel_pressure
3/3/22 0:00,16,27.4,,52,0.8,2.1,0,0,26.65,41.4086,43.8,39.7,37.67,109.9,0,40.4,,3/3/22,3/3/22,36.3146,0,0,,,
3/3/22 0:10,16,27.2,,54,2,2.7,0,0,26.66,41.3744,42.9,39,38.7734,76.45,0,39.7,,3/3/22,3/3/22,36.6188,0,0,,,
3/3/22 0:20,16,26.9,,53,2.3,3.7,0,0,26.67,41.3186,42.8,39.1,38.5808,52.55,0,39.7,,3/3/22,3/3/22,36.5522,0,0,,,
3/3/22 0:30,16,26.8,,51,1.2,2.3,0,0,26.67,41.3276,43.5,38.8,38.6006,19.35,0,39.4,,3/3/22,3/3/22,36.4064,0,0,,,
3/3/22 0:40,16,27,,52,1.6,2.8,0,0,26.66,41.2736,43.5,38.9,38.345,31.35,0,39.3,,3/3/22,3/3/22,36.1022,0,0,,,
3/3/22 0:50,16,27.2,,53,1.3,3.3,0,0,26.66,41.207,43.1,38.2,38.2694,122.9,0,38.8,,3/3/22,3/3/22,36.2228,0,0,,,
3/3/22 1:00,16,27.4,,54,1.3,2.7,0,0,26.66,41.1944,42.8,37.9,37.7636,66.92,0,38.7,,3/3/22,3/3/22,35.8538,0,0,,,
3/3/22 1:10,16,27.2,,56,1.5,2.6,0,0,26.66,41.126,41.9,37.2,36.9068,91,0,38,,3/3/22,3/3/22,35.4272,0,0,,,
3/3/22 1:20,16,27.1,,60,3.3,5.1,0,0,26.65,41.1386,39.7,36.8,37.472,72.98,0,37.4,,3/3/22,3/3/22,35.9726,0,0,,,
3/3/22 1:30,16,27.4,,61,2.8,4.6,0,0,26.65,41.0036,39.7,36.9,37.6088,66.7,0,37.6,,3/3/22,3/3/22,35.4668,0,0,,,
3/3/22 1:40,16,27.2,,59,1.2,2.3,0,0,26.66,40.9964,40.5,37,35.0384,68.4,0,37.4,,3/3/22,3/3/22,33.8342,0,0,,,
3/3/22 1:50,16,27.1,,60,2.2,3,0,0,26.67,41.027,39.7,36.4,36.8186,68.05,0,37,,3/3/22,3/3/22,35.3102,0,0,,,
3/3/22 2:00,16,27.1,,60,2.1,3.2,0,0,26.66,41.0594,39.7,36.4,36.5558,69.72,0,37,,3/3/22,3/3/22,35.3894,0,0,,,
3/3/22 2:10,16,27.1,,61,1.3,2.6,0,0,26.66,40.8254,39.6,36.3,35.7404,84.4,0,36.8,,3/3/22,3/3/22,34.3796,0,0,,,
3/3/22 2:20,16,27.2,,62,2.6,4.2,0,0,26.66,40.9064,39.2,36.3,37.571,74.37,0,36.8,,3/3/22,3/3/22,35.8268,0,0,,,
3/3/22 2:30,16,27.3,,61,2.7,3.6,0,0,26.66,40.8326,39.5,36.7,37.922,53.08,0,37.3,,3/3/22,3/3/22,36.0518,0,0,,,
3/3/22 2:40,16,27.2,,58,0.7,1.9,0,0,26.67,40.7786,40.8,37.4,36.9878,14.61,0,37.9,,3/3/22,3/3/22,35.6648,0,0,,,
3/3/22 2:50,16,27.2,,56,1.5,2.9,0,0,26.67,40.721,41.6,37.5,38.9786,46.58,0,38.2,,3/3/22,3/3/22,37.3766,0,0,,,
3/3/22 3:00,16,27.4,,58,1.9,2.9,0,0,26.67,40.703,41,37.6,37.085,93.5,0,38.3,,3/3/22,3/3/22,36.4424,0,0,,,
3/3/22 3:10,16,27.6,,61,2.2,3.1,0,0,26.66,40.6904,40.1,37.3,37.328,90.5,0,38,,3/3/22,3/3/22,35.9726,0,0,,,
3/3/22 3:20,16,27.8,,62,1.7,3.1,0,0,26.68,40.6796,39.8,37,36.4406,70.66,0,37.6,,3/3/22,3/3/22,35.078,0,0,,,
3/3/22 3:30,16,27.8,,61,0.5,1.3,0,0,26.67,40.595,40.1,36.6,36.8492,43.08,0,37.1,,3/3/22,3/3/22,35.078,0,0,,,
3/3/22 3:40,16,28.2,,61,0.9,1.6,0,0,26.67,40.6004,40.8,36.5,36.7124,4.433,0,37.3,,3/3/22,3/3/22,35.0006,0,0,,,
3/3/22 3:50,16,28.1,,61,1.4,2.6,0,0,26.66,40.4636,40.6,36.4,36.131,105.3,0,37,,3/3/22,3/3/22,34.6136,0,0,,,
3/3/22 4:00,16,27.6,,64,3.1,4.3,0,0,26.67,40.487,38.7,36.1,37.148,80.8,0,36.7,,3/3/22,3/3/22,35.6684,0,0,,,
3/3/22 4:10,16,28,,65,2.7,4.1,0,0,26.67,40.433,38.9,36.5,36.8006,63.35,0,37.2,,3/3/22,3/3/22,35.321,0,0,,,
3/3/22 4:20,16,27.9,,63,1.6,2.4,0,0,26.66,40.397,39.3,36,34.0286,91.4,0,36.5,,3/3/22,3/3/22,32.99,0,0,,,
3/3/22 4:30,16,27.7,,65,1.9,2.8,0,0,26.67,40.334,38.6,35.8,35.321,71.27,0,36.2,,3/3/22,3/3/22,33.5732,0,0,,,
3/3/22 4:40,16,27.6,,64,2.4,3.2,0,0,26.67,40.3286,38.5,35.5,34.9232,70.66,0,36,,3/3/22,3/3/22,33.2618,0,0,,,
3/3/22 4:50,16,27.2,,64,1.5,3.1,0,0,26.67,40.2134,38.2,35.3,34.0592,53.78,0,35.8,,3/3/22,3/3/22,32.6012,0,0,,,
3/3/22 5:00,16,27,,64,1.5,2,0,0,26.67,40.2206,38.3,34.7,33.728,74.85,0,35.2,,3/3/22,3/3/22,32.018,0,0,,,
3/3/22 5:10,16,26.7,,64,1.2,2.3,0,0,26.67,40.2566,38,34.2,32.135,65.99,0,34.6,,3/3/22,3/3/22,31.1252,0,0,,,
